id,Name
1,start
1,A
1,B
1,C
1,D
1,E
1,F
1,G
1,H
1,end
2,start
2,A
2,E
2,B
2,F
2,C
2,G
2,D
2,H
2,end
3,start
3,E
3,A
3,F
3,B
3,G
3,C
3,H
3,D
3,end
4,start
4,E
4,F
4,A
4,G
4,B
4,H
4,C
4,D
4,end
5,start
5,A
5,B
5,C
5,E
5,D
5,F
5,G
5,H
5,end
6,start
6,A
6,B
6,E
6,C
6,F
6,D
6,G
6,H
6,end
7,start
7,E
7,F
7,G
7,A
7,H
7,B
7,C
7,D
7,end
8,start
8,E
8,F
8,G
8,H
8,A
8,B
8,C
8,D
8,end
9,start
9,A
9,E
9,F
9,G
9,H
9,B
9,C
9,D
9,end
