id,Name
1,start
1,A
1,B
1,C
1,L
1,E
1,M
1,F
1,G
1,J
1,B
1,C
1,K
1,G
1,H
1,D
1,end
2,start
2,A
2,E
2,B
2,F
2,G
2,J
2,C
2,L
2,K
2,M
2,G
2,H
2,B
2,C
2,D
2,end
3,start
3,E
3,A
3,F
3,B
3,G
3,J
3,K
3,G
3,C
3,L
3,M
3,B
3,C
3,H
3,D
3,end
4,start
4,E
4,F
4,A
4,G
4,J
4,K
4,G
4,B
4,H
4,C
4,L
4,M
4,B
4,C
4,D
4,end
5,start
5,A
5,B
5,C
5,L
5,M
5,B
5,C
5,E
5,D
5,F
5,G
5,J
5,K
5,G
5,H
5,end
6,start
6,A
6,B
6,E
6,C
6,L
6,M
6,B
6,C
6,F
6,D
6,G
6,J
6,K
6,G
6,H
6,end
7,start
7,E
7,F
7,G
7,J
7,K
7,G
7,A
7,H
7,B
7,C
7,L
7,M
7,B
7,C
7,D
7,end
8,start
8,E
8,F
8,G
8,J
8,A
8,K
8,B
8,C
8,L
8,G
8,M
8,H
8,B
8,C
8,D
8,end
9,start
9,A
9,E
9,F
9,G
9,J
9,K
9,G
9,H
9,B
9,C
9,L
9,M
9,B
9,C
9,D
9,end
10,start
10,E
10,F
10,G
10,J
10,K
10,G
10,H
10,A
10,B
10,C
10,L
10,M
10,B
10,C
10,D
10,end
11,start
11,A
11,B
11,C
11,E
11,L
11,F
11,M
11,G
11,B
11,J
11,K
11,C
11,L
11,G
11,H
11,M
11,B
11,C
11,D
11,end
12,start
12,E
12,F
12,G
12,J
12,A
12,K
12,G
12,J
12,B
12,K
12,G
12,J
12,C
12,K
12,G
12,J
12,L
12,K
12,G
12,J
12,M
12,K
12,G
12,J
12,B
12,K
12,G
12,J
12,C
12,K
12,G
12,J
12,D
12,K
12,G
12,H
12,end
13,start
13,A
13,B
13,C
13,L
13,E
13,M
13,B
13,C
13,L
13,F
13,M
13,B
13,C
13,L
13,G
13,M
13,B
13,C
13,L
13,J
13,M
13,B
13,C
13,L
13,K
13,M
13,G
13,B
13,C
13,L
13,H
13,M
13,B
13,C
13,D
13,end
14,start
14,E
14,F
14,G
14,A
14,J
14,K
14,G
14,B
14,C
14,J
14,K
14,G
14,L
14,J
14,K
14,G
14,M
14,J
14,K
14,G
14,B
14,C
14,D
14,J
14,K
14,G
14,H
14,end
15,start
15,E
15,A
15,B
15,C
15,F
15,L
15,M
15,B
15,C
15,G
15,J
15,L
15,M
15,B
15,C
15,K
15,L
15,M
15,B
15,C
15,G
15,H
15,L
15,M
15,B
15,C
15,D
15,end
16,start
16,A
16,B
16,C
16,L
16,M
16,E
16,B
16,C
16,F
16,G
16,J
16,L
16,M
16,K
16,G
16,B
16,C
16,D
16,H
16,end
17,start
17,A
17,B
17,C
17,L
17,M
17,B
17,C
17,E
17,F
17,G
17,J
17,K
17,D
17,G
17,H
17,end
18,start
18,E
18,F
18,G
18,J
18,K
18,A
18,B
18,C
18,L
18,M
18,B
18,C
18,G
18,D
18,H
18,end
19,start
19,A
19,B
19,C
19,L
19,M
19,B
19,C
19,D
19,E
19,F
19,G
19,J
19,K
19,G
19,H
19,end
20,start
20,A
20,B
20,E
20,F
20,C
20,L
20,M
20,B
20,C
20,D
20,G
20,J
20,K
20,G
20,H
20,end
